k,n_init,WCSS (Inertia),Silhouette Score
2,5,461.12119317194765,0.3546134909137329
2,10,461.12119317194765,0.3546134909137329
2,20,461.12119317194765,0.3546134909137329
3,5,331.7690556674312,0.3884784697969629
3,10,331.7690556674312,0.3884784697969629
3,20,331.7690556674312,0.3884784697969629
4,5,219.3701241932797,0.40603496692820545
4,10,219.37012419327968,0.40603496692820545
4,20,219.3701241932797,0.40603496692820545
5,5,169.032764375466,0.3970835646251036
5,10,169.03276437546603,0.3970835646251036
5,20,169.032764375466,0.3970835646251036
6,5,148.36927295392945,0.41177940399994406
6,10,147.6315008675241,0.3743283258100623
6,20,146.0347577603686,0.38136897200968933
7,5,129.5358568821793,0.3253166995035841
7,10,128.903053513111,0.33224518565807937
7,20,128.903053513111,0.33224518565807937
8,5,117.38668210165119,0.29385117351874285
8,10,116.05704997707869,0.34438538963485565
8,20,116.05704997707869,0.34438538963485565
9,5,107.55878167716605,0.28056886419086235
9,10,104.59583443837005,0.36029985231077044
9,20,103.56563197390116,0.3012133741168946
10,5,92.85064658657492,0.3188862736844108
10,10,92.85064658657492,0.3188862736844108
10,20,92.85064658657492,0.3188862736844108
